Country,Age_Standardized_Suicide_Rate,Age_Standardized_Suicide_Rate_Female,Age_Standardized_Suicide_Rate_Male,crude_suicide_80_above,crude_suicide_70to79,crude_suicide_60to69,crude_suicide_50to59,crude_suicide_40to49,crude_suicide_30to39,crude_suicide_20to29,crude_suicide_10to19,crude_suicide_80_above_male,crude_suicide_70to79_male,crude_suicide_60to69_male,crude_suicide_50to59_male,crude_suicide_40to49_male,crude_suicide_30to39_male,crude_suicide_20to29_male,crude_suicide_10to19_male,crude_suicide_80_above_female,crude_suicide_70to79_female,crude_suicide_60to69_female,crude_suicide_50to59_female,crude_suicide_40to49_female,crude_suicide_30to39_female,crude_suicide_20to29_female,crude_suicide_10to19_female,Regional_indicator,Happiness_Score,GDP_Per_Capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Social_Support_Level,Generosity_Level,Freedom_to_make_life_choices_level,Homicide_Rate,Homicide_Level,Crime_Index,Population,Crime_Level,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Stand_alone_law_for_mental_health,Stand_alone_policy_for_mental_health
sri lanka,14.2,6.2,23.3,50.9,27.2,19.0,17.0,18.4,17.3,21.9,6.2,84.7,46.1,32.2,30.1,32.5,29.9,34.6,6.2,28.2,13.0,7.8,5.1,5.0,6.0,10.2,6.2,South Asia,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,Low,High,High,2.3,Low,41.39,21497310.0,Low,,,,,,0.517,3.278,0.285,0.246,Yes,Yes
sweden,11.7,7.4,15.8,45.3,18.4,17.3,20.3,16.6,15.1,13.5,3.5,47.0,26.1,23.5,26.2,23.3,21.8,18.2,4.5,44.2,11.2,11.1,14.1,9.7,8.1,8.6,2.4,Western Europe,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,Very High,Very High,Very High,1.1,Very Low,48.0,10160169.0,High,,,,,,20.863,50.566,,,No,Yes
switzerland,11.3,6.9,15.8,84.6,28.1,21.5,21.7,14.9,9.8,9.0,4.1,107.3,37.5,30.3,29.3,21.1,13.9,13.6,5.8,71.1,20.0,13.0,13.9,8.6,5.8,4.3,2.4,Western Europe,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,Very High,Very High,Very High,0.5,Very Low,21.62,8715494.0,Very Low,,,,,,43.956,92.659,,84.137,No,Yes
tajikistan,3.3,1.7,5.0,12.4,9.1,7.6,6.0,4.7,3.6,2.3,1.0,17.1,11.2,10.6,10.6,8.0,5.7,3.0,1.3,9.1,7.2,4.8,1.9,1.5,1.5,1.6,0.8,Commonwealth of Independent States,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063,High,High,High,1.6,Low,,,,0.035,0.129,0.164,,,1.392,1.497,,,Yes,No
tanzania,9.6,5.4,14.3,80.6,43.0,22.6,15.3,9.1,6.6,6.7,2.5,139.2,67.7,32.6,21.5,12.7,9.5,10.1,3.3,29.4,23.4,14.4,9.6,5.6,3.8,3.5,1.6,Sub-Saharan Africa,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,Very Low,Very High,High,6.2,High,56.0,61498437.0,High,,,,,,,,,,,
thailand,12.9,4.8,21.4,27.3,22.6,17.8,17.0,15.0,20.4,18.0,5.6,38.9,34.4,26.1,26.3,25.9,36.3,30.9,9.2,19.5,13.3,10.6,8.5,4.9,4.8,5.0,1.8,Southeast Asia,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,High,Very High,Very High,3.2,High,39.35,69950850.0,Low,0.028,0.151,1.302,0.007,,0.721,7.418,0.836,1.749,Yes,Yes
togo,16.6,10.9,22.7,124.5,77.3,43.3,24.8,15.6,12.9,10.7,4.0,187.6,99.6,54.7,34.7,22.7,18.4,14.3,5.3,75.5,58.3,33.0,15.5,8.7,7.4,7.0,2.8,Sub-Saharan Africa,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,Very Low,High,Very Low,,,,,,0.013,0.108,0.04,,0.04,0.054,0.27,0.054,0.404,No,Yes
trinidad and tobago,12.9,4.3,21.9,17.6,15.2,16.9,10.1,17.4,19.6,21.9,7.3,50.9,29.5,28.0,17.3,29.3,33.2,36.7,10.6,0.0,4.4,6.6,3.2,5.7,6.1,6.9,3.8,Latin America and Caribbean,6.191899776,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611,Very High,High,High,30.9,Very High,71.63,1403375.0,Very High,,,,,,,,,,Yes,Yes
tunisia,3.2,2.2,4.4,13.2,8.2,5.9,5.6,4.5,3.7,3.1,0.9,16.0,10.9,7.6,8.0,6.4,5.1,4.2,1.0,11.2,5.9,4.3,3.3,2.7,2.3,2.0,0.9,Middle East and North Africa,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249,Very Low,Very Low,Very Low,3.0,High,43.69,11935766.0,Low,,,,,,,0.195,,0.009,No,Yes
turkey,7.2,3.2,11.3,10.1,5.6,3.0,3.1,6.7,13.8,15.6,5.4,18.5,9.8,4.9,4.9,11.3,22.7,24.3,6.5,5.4,2.3,1.5,1.4,2.4,4.9,6.8,4.2,Middle East and North Africa,5.131800175,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,Low,Very Low,Very Low,4.3,High,39.62,85042738.0,Low,0.011,0.455,0.19,,0.174,1.637,150.251,1.643,2.537,No,Yes
